pathway,database,overlap,pathway_size,fold_enrichment,vif,z_score,p_value,overlapping_genes,fdr_q
cAMP signaling pathway,KEGG,2,208,0.58,3.03,-0.46,0.6762913422004337,"MC2R, MYL9",0.7663025209242861
Calcium signaling pathway,KEGG,2,226,0.53,3.72,-0.48,0.6835105595529563,"GNAQ, TNNC1",0.7663025209242861
Cellular Responses To Stress R-HSA-2262752,Reactome,7,689,0.61,7.98,-0.48,0.6847859965941117,"ATP6V1B2, CASTOR2, MAP3K5, PPP1R15A, RPL11, RPL21, RPL26L1",0.7663025209242861
Axon Guidance R-HSA-422475,Reactome,5,491,0.61,5.51,-0.48,0.6857617744805723,"MYL9, NCK2, RPL11, RPL21, RPL26L1",0.7663025209242861
Cellular Responses To Stimuli R-HSA-8953897,Reactome,7,693,0.61,8.08,-0.48,0.6858374003311614,"ATP6V1B2, CASTOR2, MAP3K5, PPP1R15A, RPL11, RPL21, RPL26L1",0.7663025209242861
heme Metabolism,Hallmark,2,192,0.63,1.89,-0.49,0.6887536560884786,"CLCN3, HBB",0.7663025209242861
Chemical carcinogenesis,KEGG,2,236,0.51,4.0,-0.49,0.6892118920551179,"CYP2B6, MGST2",0.7663025209242861
GPCR Downstream Signaling R-HSA-388396,Reactome,6,590,0.61,6.29,-0.5,0.6911236264850158,"GNAQ, KISS1R, KNG1, MC2R, PTH2R, TAS1R1",0.7663025209242861
Signaling By Rho GTPases R-HSA-194315,Reactome,6,588,0.61,5.89,-0.51,0.6957225754685327,"ARHGAP8, CCDC187, IL32, MYL9, NCK2, NOX1",0.7663025209242861
Nervous System Development R-HSA-9675108,Reactome,5,512,0.59,5.8,-0.51,0.6960359869893145,"MYL9, NCK2, RPL11, RPL21, RPL26L1",0.7663025209242861
"Signaling By Rho GTPases, Miro GTPases And RHOBTB3 R-HSA-9716542",Reactome,6,603,0.6,6.37,-0.52,0.6979887302992528,"ARHGAP8, CCDC187, IL32, MYL9, NCK2, NOX1",0.7663025209242861
Diseases Of Metabolism R-HSA-5668914,Reactome,2,227,0.53,3.02,-0.53,0.7032335325286015,"FMO3, MC2R",0.7679438176895753
RHO GTPase Effectors R-HSA-195258,Reactome,2,241,0.5,3.54,-0.54,0.7059164012007351,"MYL9, NOX1",0.7679438176895753
Organelle Biogenesis And Maintenance R-HSA-1852241,Reactome,2,258,0.47,4.12,-0.55,0.7102179609241899,"CDK5RAP2, NPHP1",0.7679438176895753
Transcriptional Regulation By TP53 R-HSA-3700989,Reactome,3,333,0.54,3.89,-0.56,0.7113898156116608,"ELOA2, MDC1, POLR2E",0.7679438176895753
